"user_id","age","gender","education","industry","experimental_condition"
2934,48,"F","College graduate","Other","Consensus"
2935,25,"M","High school graduate","Other","Most recent"
2936,43,"M","Some college","Liberal Arts and Humanities","Most confident"
2937,27,"F","Vocational training","Liberal Arts and Humanities","Control"
2938,23,"M","Some college","Other","Consensus"
2939,25,"M","Some college","Computer Sciences","Most recent"
2940,43,"F","Vocational training","Legal","Most confident"
2941,29,"F","High school graduate","Medical and Health Professions","Control"
2942,33,"M","College graduate","Visual and Performing Arts","Consensus"
2943,42,"M","High school graduate","Other","Most recent"
2944,33,"M","Post-graduate degree","Medical and Health Professions","Most confident"
2945,31,"F","College graduate","Business","Control"
2946,40,"M","High school graduate","Other","Consensus"
2947,68,"M","Some college","Architecture","Most recent"
2948,33,"M","College graduate","Computer Sciences","Most confident"
2949,36,"M","College graduate","Other","Control"
2950,27,"M","College graduate","Other","Consensus"
2951,36,"F","Some college","Other","Most recent"
2952,38,"F","High school graduate","Other","Most confident"
2953,27,"F","Some postgraduate work","Other","Control"
2954,25,"M","Some college","Computer Sciences","Consensus"
2955,22,"F","Some college","Business","Most recent"
2956,22,"M","Some college","Engineering","Most confident"
2957,32,"F","College graduate","Other","Control"
2958,31,"F","Some college","Liberal Arts and Humanities","Consensus"
2959,32,"F","College graduate","Engineering","Most recent"
2960,20,"M","Some college","Other","Most confident"
2961,27,"M","College graduate","Liberal Arts and Humanities","Control"
2962,29,"F","Post-graduate degree","Liberal Arts and Humanities","Consensus"
2963,27,"F","College graduate","Other","Most recent"
2964,33,"M","College graduate","Liberal Arts and Humanities","Most confident"
2965,24,"F","College graduate","Visual and Performing Arts","Control"
2966,44,"M","Vocational training","Visual and Performing Arts","Consensus"
2967,42,"F","Vocational training","Computer Sciences","Most recent"
2968,26,"F","Post-graduate degree","Medical and Health Professions","Most confident"
2969,26,"F","High school graduate","Business","Control"
2970,23,"M","College graduate","Psychology","Consensus"
2971,35,"F","College graduate","Business","Most recent"
2972,27,"M","College graduate","Engineering","Most confident"
2973,32,"M","College graduate","Computer Sciences","Control"
2974,45,"M","Post-graduate degree","Education","Consensus"
2975,35,"F","Some college","Liberal Arts and Humanities","Most recent"
2976,42,"M","Some postgraduate work","Computer Sciences","Most confident"
2977,34,"M","College graduate","Culinary Arts and Personal Services","Control"
2978,49,"M","Post-graduate degree","Other","Consensus"
2979,28,"F","College graduate","Engineering","Most recent"
2980,51,"F","College graduate","Medical and Health Professions","Most confident"
2981,34,"F","College graduate","Education","Control"
2982,30,"F","Post-graduate degree","Liberal Arts and Humanities","Consensus"
2983,25,"M","College graduate","Agriculture","Most recent"
2984,24,"M","Some postgraduate work","Culinary Arts and Personal Services","Most confident"
2985,35,"F","Some college","Visual and Performing Arts","Control"
2986,24,"F","College graduate","Physical Sciences","Consensus"
2987,28,"M","High school graduate","Other","Most recent"
2988,30,"M","College graduate","Education","Most confident"
2989,25,"M","College graduate","Business","Control"
2990,40,"F","College graduate","Other","Consensus"
2991,26,"F","College graduate","Liberal Arts and Humanities","Most recent"
2992,25,"M","College graduate","Education","Most confident"
2993,32,"M","Some college","Other","Control"
2994,62,"F","Vocational training","Business","Consensus"
2995,35,"F","College graduate","Other","Most recent"
2996,28,"M","Some college","Other","Most confident"
2997,55,"M","Some college","Other","Control"
2998,23,"M","College graduate","Culinary Arts and Personal Services","Consensus"
2999,37,"M","College graduate","Computer Sciences","Most recent"
3000,26,"M","College graduate","Computer Sciences","Most confident"
3001,25,"M","College graduate","Engineering","Control"
3002,25,"M","College graduate","Physical Sciences","Consensus"
3003,21,"F","College graduate","Biological and Biomedical Sciences","Most recent"
3004,36,"F","Post-graduate degree","Business","Most confident"
3006,29,"M","Vocational training","Medical and Health Professions","Consensus"
3007,23,"F","Some college","Business","Most recent"
3008,30,"F","College graduate","Medical and Health Professions","Most confident"
3009,26,"M","College graduate","Visual and Performing Arts","Control"
3010,32,"M","Post-graduate degree","Computer Sciences","Consensus"
3011,44,"F","College graduate","Physical Sciences","Most recent"
3012,34,"F","High school graduate","Other","Most confident"
3013,30,"M","College graduate","Culinary Arts and Personal Services","Control"
3014,42,"F","Some college","Other","Consensus"
3015,49,"M","Some college","Other","Most recent"
3016,36,"F","College graduate","Other","Most confident"
3017,39,"F","Some postgraduate work","Computer Sciences","Control"
3018,57,"F","Some college","Other","Consensus"
3020,30,"F","College graduate","Business","Most confident"
3022,34,"M","Some college","Computer Sciences","Consensus"
3023,31,"F","Some college","Communications and Journalism","Most recent"
3025,43,"M","Some college","Business","Control"
3026,42,"M","College graduate","Business","Consensus"
3027,29,"M","Some college","Business","Most recent"
3028,28,"F","College graduate","Visual and Performing Arts","Most confident"
3029,32,"M","High school graduate","Other","Control"
3030,62,"M","College graduate","Liberal Arts and Humanities","Consensus"
3031,41,"M","Vocational training","Mechanic and Repair Technologies","Most recent"
3032,23,"M","Some college","Computer Sciences","Most confident"
3033,52,"M","College graduate","Communications and Journalism","Control"
3035,25,"F","College graduate","Biological and Biomedical Sciences","Most recent"
3036,34,"F","Some college","Liberal Arts and Humanities","Most confident"
3037,31,"M","Post-graduate degree","Legal","Control"
3038,29,"F","College graduate","Psychology","Consensus"
3039,34,"M","Post-graduate degree","Visual and Performing Arts","Most recent"
3040,30,"M","Some college","Culinary Arts and Personal Services","Most confident"
3041,27,"M","College graduate","Legal","Control"
3042,28,"F","Some college","Other","Consensus"
3043,34,"F","Post-graduate degree","Other","Most recent"
3044,27,"F","College graduate","Education","Most confident"
3045,37,"F","High school graduate","Other","Control"
3046,32,"M","High school graduate","Agriculture","Consensus"
3047,32,"M","College graduate","Engineering","Most recent"
3048,37,"F","Some college","Liberal Arts and Humanities","Most confident"
3049,29,"M","Post-graduate degree","Education","Most confident"
3050,38,"F","College graduate","Visual and Performing Arts","Control"
3051,25,"M","College graduate","Other","Consensus"
3052,25,"F","Some college","Other","Most recent"
3053,50,"M","High school graduate","Transportation and Distribution","Most confident"
3054,37,"M","Post-graduate degree","Transportation and Distribution","Control"
3055,37,"F","College graduate","Liberal Arts and Humanities","Consensus"
3056,67,"M","Some college","Computer Sciences","Most recent"
3057,22,"M","High school graduate","Other","Most confident"
3058,27,"M","College graduate","Computer Sciences","Control"
3059,32,"M","High school graduate","Other","Consensus"
3060,40,"F","Some college","Other","Most recent"
3061,58,"M","Some college","Business","Most confident"
3062,42,"M","Post-graduate degree","Computer Sciences","Control"
3064,26,"F","High school graduate","Other","Most recent"
3066,32,"M","Post-graduate degree","Education","Control"
3069,35,"F","College graduate","Culinary Arts and Personal Services","Most confident"
3072,21,"F","High school graduate","Other","Most recent"
3073,31,"F","College graduate","Education","Most confident"
3075,37,"F","Post-graduate degree","Business","Consensus"
3076,47,"F","Some college","Other","Most recent"
3077,25,"M","College graduate","Liberal Arts and Humanities","Most confident"
3078,28,"M","College graduate","Education","Control"
3079,44,"F","Post-graduate degree","Visual and Performing Arts","Consensus"
3080,32,"F","College graduate","Business","Most recent"
3081,58,"F","Some college","Other","Most confident"
3082,34,"M","Post-graduate degree","Education","Control"
3083,25,"M","Some college","Computer Sciences","Consensus"
3084,36,"F","College graduate","Education","Most recent"
3085,61,"M","Some college","Other","Most confident"
3086,26,"M","College graduate","Psychology","Control"
3087,33,"M","High school graduate","Other","Consensus"
3088,26,"M","College graduate","Computer Sciences","Most recent"
3090,25,"M","College graduate","Engineering","Control"
3091,28,"M","Some college","Computer Sciences","Consensus"
3092,36,"M","Some college","Other","Most recent"
3093,48,"F","College graduate","Other","Most confident"
3094,30,"M","High school graduate","Culinary Arts and Personal Services","Control"
3095,59,"F","Vocational training","Other","Consensus"
3096,36,"F","Some college","Other","Most recent"
3097,34,"M","High school graduate","Culinary Arts and Personal Services","Most confident"
3098,39,"M","High school graduate","Mechanic and Repair Technologies","Control"
3099,44,"F","Some college","Other","Consensus"
3100,39,"M","Post-graduate degree","Other","Most recent"
3101,51,"F","Vocational training","Other","Most confident"
3102,31,"M","High school graduate","Other","Control"
3103,31,"M","College graduate","Computer Sciences","Consensus"
3104,35,"F","College graduate","Other","Most recent"
3105,33,"M","College graduate","Other","Most confident"
3106,25,"M","College graduate","Business","Control"
3107,34,"F","Some college","Business","Consensus"
3108,30,"M","College graduate","Business","Most recent"
3109,33,"M","College graduate","Other","Most confident"
3110,45,"F","College graduate","Culinary Arts and Personal Services","Control"
3111,22,"F","Some college","Physical Sciences","Consensus"
3112,25,"F","College graduate","Engineering","Most recent"
3113,30,"M","Some college","Psychology","Most confident"
3114,34,"M","College graduate","Business","Control"
3115,72,"F","College graduate","Education","Consensus"
3116,20,"M","Some college","Computer Sciences","Most recent"
3117,46,"F","Some college","Education","Most confident"
3118,54,"F","College graduate","Business","Control"
3119,19,"M","Some college","Psychology","Consensus"
3120,22,"F","Some college","Education","Most recent"
3121,68,"F","Some college","Business","Most confident"
3122,26,"F","Some postgraduate work","Liberal Arts and Humanities","Control"
3123,33,"M","College graduate","Mechanic and Repair Technologies","Consensus"
3124,52,"F","Post-graduate degree","Business","Most recent"
3125,30,"M","Some college","Legal","Most confident"
3126,22,"M","College graduate","Physical Sciences","Control"
3127,41,"M","Post-graduate degree","Education","Consensus"
3128,55,"F","College graduate","Medical and Health Professions","Most recent"
3130,35,"F","College graduate","Agriculture","Control"
3132,33,"M","Post-graduate degree","Business","Most recent"
3134,41,"F","Some college","Other","Control"
3135,36,"F","Some college","Medical and Health Professions","Consensus"
3138,51,"F","Post-graduate degree","Business","Control"
3139,28,"M","College graduate","Architecture","Consensus"
3140,26,"M","College graduate","Business","Most recent"
3141,25,"F","College graduate","Business","Most confident"
3142,23,"F","Some college","Computer Sciences","Control"
3143,22,"F","Some college","Computer Sciences","Consensus"
3144,28,"M","College graduate","Computer Sciences","Most recent"
3145,48,"F","High school graduate","Education","Most confident"
3146,21,"M","Some college","Business","Control"
3147,34,"M","High school graduate","Other","Consensus"
3148,20,"M","Some college","Other","Most recent"
3149,18,"F","Some college","Other","Most confident"
3150,26,"M","Some college","Other","Control"
3151,35,"F","College graduate","Other","Consensus"
3152,35,"M","College graduate","Computer Sciences","Most recent"
3153,32,"F","Some college","Other","Most confident"
3154,29,"F","College graduate","Education","Control"
3155,25,"M","Some college","Computer Sciences","Consensus"
3156,31,"M","Some college","Visual and Performing Arts","Most recent"
3157,25,"M","Some college","Other","Most confident"
3159,34,"M","College graduate","Other","Consensus"
3160,38,"M","College graduate","Visual and Performing Arts","Most recent"
3161,27,"M","Post-graduate degree","Business","Most confident"
3162,33,"M","College graduate","Computer Sciences","Control"
3163,21,"M","Some college","Mechanic and Repair Technologies","Consensus"
3164,29,"F","Some college","Education","Most recent"
3165,25,"M","College graduate","Computer Sciences","Most confident"
3166,46,"F","College graduate","Other","Control"
3167,49,"M","Some college","Computer Sciences","Consensus"
3168,23,"M","Some college","Computer Sciences","Most recent"
3169,31,"F","Some college","Business","Most confident"
3170,29,"M","College graduate","Computer Sciences","Control"
3171,53,"F","Vocational training","Computer Sciences","Consensus"
3172,65,"F","Some postgraduate work","Business","Most recent"
3173,39,"M","Some college","Computer Sciences","Most confident"
3174,38,"M","Post-graduate degree","Agriculture","Control"
3175,34,"M","Vocational training","Other","Consensus"
3176,33,"M","College graduate","Other","Most recent"
3177,30,"M","High school graduate","Other","Most confident"
3178,35,"M","Post-graduate degree","Education","Control"
3179,54,"F","College graduate","Psychology","Consensus"
3180,21,"M","High school graduate","Computer Sciences","Most recent"
3181,33,"F","College graduate","Education","Most confident"
3182,26,"M","Some college","Other","Control"
3183,27,"F","Some college","Other","Consensus"
3184,43,"M","Post-graduate degree","Education","Most recent"
3185,32,"F","College graduate","Other","Most confident"
3186,36,"M","Some college","Other","Control"
3187,37,"F","College graduate","Visual and Performing Arts","Consensus"
3188,27,"F","Some college","Other","Most recent"
3190,27,"M","Some postgraduate work","Legal","Control"
3191,24,"M","Some college","Business","Consensus"
3192,37,"M","College graduate","Education","Most recent"
3193,34,"M","College graduate","Computer Sciences","Most confident"
3194,63,"M","Post-graduate degree","Education","Control"
3196,48,"F","Vocational training","Other","Most recent"
3197,50,"M","College graduate","Business","Most confident"
3198,40,"M","Some college","Other","Control"
3199,45,"M","Post-graduate degree","Education","Consensus"
3200,23,"M","College graduate","Other","Most recent"
3201,43,"M","Vocational training","Computer Sciences","Most confident"
3202,47,"M","Post-graduate degree","Business","Control"
3203,24,"M","Some college","Mechanic and Repair Technologies","Consensus"
3204,26,"F","Some college","Other","Most recent"
3205,35,"F","Post-graduate degree","Other","Most confident"
3206,33,"M","Some college","Other","Control"
3207,39,"F","Some college","Other","Consensus"
3209,30,"M","College graduate","Legal","Most confident"
3210,46,"M","College graduate","Liberal Arts and Humanities","Control"
3211,35,"M","Post-graduate degree","Liberal Arts and Humanities","Consensus"
3212,26,"M","College graduate","Computer Sciences","Most recent"
3215,44,"F","College graduate","Medical and Health Professions","Consensus"
3216,28,"F","College graduate","Medical and Health Professions","Most recent"
3217,64,"F","Some college","Visual and Performing Arts","Most confident"
3218,44,"M","Some college","Architecture","Control"
3219,46,"M","College graduate","Business","Consensus"
3220,25,"F","Some college","Education","Most recent"
3221,38,"M","Some college","Other","Most confident"
3222,43,"M","High school graduate","Other","Control"
3223,58,"F","Vocational training","Computer Sciences","Consensus"
3224,31,"M","Post-graduate degree","Business","Most recent"
3225,19,"M","Some college","Biological and Biomedical Sciences","Most confident"
3226,28,"M","Some college","Other","Control"
3227,43,"F","Post-graduate degree","Medical and Health Professions","Consensus"
3228,35,"F","College graduate","Liberal Arts and Humanities","Most recent"
3229,19,"F","Some college","Other","Most confident"
3230,29,"M","Some postgraduate work","Business","Control"
3232,60,"F","Some college","Computer Sciences","Most recent"
3233,44,"M","High school graduate","Other","Most confident"
3234,30,"F","Some postgraduate work","Liberal Arts and Humanities","Control"
3235,52,"F","High school graduate","Other","Consensus"
3236,24,"F","College graduate","Engineering","Most recent"
3237,38,"M","College graduate","Other","Most confident"
3238,36,"F","Some college","Other","Control"
3239,34,"F","College graduate","Education","Consensus"
3240,67,"F","Post-graduate degree","Education","Most recent"
3241,26,"M","College graduate","Computer Sciences","Most confident"
3242,27,"M","Some postgraduate work","Computer Sciences","Control"
3243,44,"F","College graduate","Education","Consensus"
3244,44,"F","College graduate","Visual and Performing Arts","Most recent"
3245,37,"F","High school graduate","Business","Most confident"
3246,37,"F","Post-graduate degree","Education","Control"
3247,35,"M","College graduate","Computer Sciences","Consensus"
3248,49,"M","Some college","Computer Sciences","Most recent"
3249,35,"M","Some college","Computer Sciences","Most confident"
3250,21,"F","College graduate","Engineering","Control"
3251,36,"F","College graduate","Other","Consensus"
3252,31,"F","College graduate","Other","Most recent"
3253,55,"F","College graduate","Medical and Health Professions","Most confident"
3254,24,"M","Some college","Other","Control"
3255,35,"M","College graduate","Other","Consensus"
3256,52,"F","Some college","Other","Most recent"
3257,26,"F","College graduate","Business","Most confident"
3258,31,"M","Some college","Other","Control"
3259,42,"F","College graduate","Legal","Consensus"
3260,20,"M","Some college","Computer Sciences","Most recent"
3261,40,"F","Post-graduate degree","Education","Most confident"
3262,59,"M","College graduate","Physical Sciences","Control"
3263,27,"M","Some college","Other","Consensus"
3264,26,"M","Some college","Other","Most recent"
3265,29,"F","Some college","Other","Most confident"
3266,34,"F","Some college","Business","Control"
3267,36,"F","College graduate","Biological and Biomedical Sciences","Consensus"
3268,23,"M","High school graduate","Other","Most recent"
3269,30,"M","Post-graduate degree","Education","Most confident"
3271,39,"F","College graduate","Other","Consensus"
3272,58,"F","College graduate","Medical and Health Professions","Most recent"
3273,35,"F","College graduate","Other","Most confident"
3274,44,"F","College graduate","Other","Control"
3276,26,"M","Some college","Business","Most recent"
3277,26,"M","College graduate","Other","Most confident"
3278,38,"F","Post-graduate degree","Computer Sciences","Control"
3279,46,"M","Some college","Computer Sciences","Consensus"
3280,27,"M","Some college","Engineering","Most recent"
3281,26,"M","College graduate","Business","Most confident"
3282,58,"M","College graduate","Business","Control"
3283,65,"F","College graduate","Education","Consensus"
3285,26,"F","College graduate","Other","Most confident"
3286,31,"M","College graduate","Business","Control"
3287,0,"","","","Consensus"
3288,62,"M","Some college","Liberal Arts and Humanities","Most recent"
3289,60,"F","College graduate","Communications and Journalism","Most confident"
3290,47,"M","College graduate","Transportation and Distribution","Control"
3291,52,"F","Some postgraduate work","Legal","Consensus"
3292,30,"F","College graduate","Medical and Health Professions","Most recent"
3293,26,"M","Some college","Business","Most confident"
3294,22,"F","Some college","Psychology","Control"
3295,51,"F","Some college","Business","Consensus"
3296,53,"F","College graduate","Business","Most recent"
3298,52,"F","Some college","Other","Control"
3299,26,"F","College graduate","Other","Consensus"
3300,45,"F","Vocational training","Business","Most recent"
3301,22,"M","Some college","Communications and Journalism","Most confident"
3302,26,"M","Vocational training","Culinary Arts and Personal Services","Control"
3304,46,"F","Some college","Other","Most recent"
3305,29,"M","Vocational training","Architecture","Most confident"
3306,24,"F","Some college","Other","Control"
3308,60,"M","Some college","Transportation and Distribution","Most recent"
3309,31,"F","Post-graduate degree","Other","Most confident"
3310,31,"M","Post-graduate degree","Legal","Control"
3312,24,"M","College graduate","Education","Most recent"
3313,42,"M","College graduate","Engineering","Most confident"
3314,57,"M","Some college","Other","Control"
3315,45,"F","Some college","Other","Consensus"
3316,68,"M","Some college","Other","Most recent"
3317,23,"M","College graduate","Computer Sciences","Most confident"
3318,33,"M","College graduate","Business","Control"
3319,36,"F","College graduate","Liberal Arts and Humanities","Consensus"
3320,43,"F","Some college","Other","Most recent"
3321,26,"F","High school graduate","Other","Most confident"
3322,30,"F","College graduate","Computer Sciences","Control"
3323,37,"M","College graduate","Transportation and Distribution","Consensus"
3324,32,"F","College graduate","Business","Most recent"
3325,57,"F","Some college","Other","Most confident"
3326,30,"M","College graduate","Other","Control"
3327,26,"F","High school graduate","Other","Consensus"
3328,31,"F","Post-graduate degree","Education","Most recent"
3329,23,"F","College graduate","Business","Most confident"
3330,45,"F","College graduate","Other","Control"
3331,22,"F","Some college","Computer Sciences","Consensus"
3332,23,"F","College graduate","Education","Most recent"
3333,30,"F","Some postgraduate work","Business","Most confident"
3334,36,"F","Some college","Business","Control"
3335,32,"F","College graduate","Medical and Health Professions","Consensus"
3336,26,"F","College graduate","Liberal Arts and Humanities","Most recent"
3337,31,"M","Some college","Business","Most confident"
3338,57,"F","College graduate","Education","Control"
3339,40,"M","Some college","Other","Consensus"
3340,30,"F","Some college","Other","Most recent"
3341,34,"F","Some college","Other","Most confident"
3342,65,"M","Some college","Mechanic and Repair Technologies","Control"
3343,27,"M","College graduate","Other","Consensus"
3345,29,"M","Some college","Visual and Performing Arts","Most confident"
3346,25,"F","College graduate","Engineering","Control"
3347,38,"F","Some college","Computer Sciences","Consensus"
3348,61,"M","Some college","Engineering","Most recent"
3349,34,"M","College graduate","Business","Most confident"
3350,25,"F","College graduate","Medical and Health Professions","Control"
3351,33,"F","Some college","Other","Consensus"
3352,49,"F","Post-graduate degree","Education","Most recent"
3353,34,"M","Some college","Other","Most confident"
3354,28,"M","College graduate","Business","Control"
3355,34,"M","Some college","Engineering","Consensus"
3356,40,"F","Post-graduate degree","Computer Sciences","Most recent"
3357,25,"M","College graduate","Biological and Biomedical Sciences","Most confident"
3358,40,"M","Vocational training","Mechanic and Repair Technologies","Control"
3359,56,"F","High school graduate","Other","Consensus"
3360,34,"M","Some college","Business","Most recent"
3361,40,"F","College graduate","Culinary Arts and Personal Services","Most confident"
3362,41,"F","College graduate","Business","Control"
3363,66,"M","College graduate","Business","Consensus"
3364,39,"M","College graduate","Liberal Arts and Humanities","Most recent"
3365,57,"M","Vocational training","Other","Most confident"
3366,38,"M","College graduate","Engineering","Control"
3367,36,"M","High school graduate","Agriculture","Consensus"
3368,45,"M","Some college","Engineering","Most recent"
3369,27,"M","College graduate","Other","Most confident"
3370,54,"F","High school graduate","Other","Control"
3371,62,"F","High school graduate","Other","Consensus"
3372,23,"F","Some college","Other","Most recent"
3373,43,"M","Some postgraduate work","Education","Most confident"
3374,65,"F","Vocational training","Legal","Control"
3375,48,"M","Some college","Other","Consensus"
3376,35,"F","High school graduate","Other","Most recent"
3377,35,"F","Some college","Communications and Journalism","Most confident"
3378,30,"F","Some college","Legal","Control"
3379,32,"M","College graduate","Computer Sciences","Consensus"
3380,27,"F","College graduate","Visual and Performing Arts","Most recent"
3381,34,"M","College graduate","Computer Sciences","Most confident"
3382,39,"M","College graduate","Computer Sciences","Control"
3383,28,"M","College graduate","Other","Consensus"
3384,48,"F","College graduate","Liberal Arts and Humanities","Most recent"
3385,73,"M","Vocational training","Mechanic and Repair Technologies","Most confident"
3386,37,"F","College graduate","Education","Control"
3387,29,"M","College graduate","Business","Consensus"
3388,23,"M","Some college","Biological and Biomedical Sciences","Most recent"
3389,21,"M","High school graduate","Agriculture","Most confident"
3390,37,"M","Post-graduate degree","Computer Sciences","Control"
3391,38,"F","High school graduate","Other","Consensus"
3392,40,"F","High school graduate","Physical Sciences","Most recent"
3393,27,"M","College graduate","Legal","Most confident"
3394,40,"M","Some college","Other","Control"
3395,26,"F","Some college","Other","Consensus"
3396,42,"M","High school graduate","Computer Sciences","Most recent"
3397,48,"F","Some college","Medical and Health Professions","Most confident"
3398,30,"F","College graduate","Liberal Arts and Humanities","Control"
3399,34,"F","Some college","Other","Consensus"
3400,32,"F","Some postgraduate work","Psychology","Most recent"
3401,26,"F","College graduate","Medical and Health Professions","Most confident"
3402,43,"F","College graduate","Medical and Health Professions","Control"
3403,32,"F","College graduate","Other","Consensus"
3404,54,"F","College graduate","Other","Most recent"
3405,34,"M","High school graduate","Other","Most confident"
3406,40,"F","Post-graduate degree","Education","Control"
3407,28,"M","College graduate","Business","Consensus"
3408,35,"F","College graduate","Education","Most recent"
3409,51,"F","College graduate","Education","Most confident"
3410,33,"M","Post-graduate degree","Biological and Biomedical Sciences","Control"
3411,26,"M","Vocational training","Mechanic and Repair Technologies","Consensus"
3412,36,"M","Some college","Computer Sciences","Most recent"
3413,61,"M","Some college","Computer Sciences","Most confident"
3414,46,"M","College graduate","Other","Control"
3415,37,"F","Post-graduate degree","Legal","Consensus"
3416,30,"M","Some college","Other","Most recent"
3417,27,"M","Some college","Mechanic and Repair Technologies","Most confident"
3418,34,"F","College graduate","Liberal Arts and Humanities","Control"
3419,32,"F","Some college","Other","Consensus"
3420,25,"M","College graduate","Engineering","Most recent"
3421,27,"F","Some college","Communications and Journalism","Most confident"
3422,37,"M","College graduate","Liberal Arts and Humanities","Control"
3423,30,"M","Post-graduate degree","Legal","Consensus"
3424,33,"F","Some college","Other","Most recent"
3425,26,"F","Some college","Other","Most confident"
